us, ir
380, 383.8
380, 383.8
380, 383.8
389, 383.8
389, 405.848
389, 405.848
389, 405.848
389, 405.848
399, 405.848
399, 405.848
399, 405.848
399, 405.848
408, 405.848
408, 428.472
408, 428.472
408, 428.472
416, 428.472
416, 428.472
416, 428.472
416, 428.472
425, 428.472
425, 428.472
425, 428.472
425, 451.672
433, 451.672
433, 451.672
433, 451.672
433, 451.672
433, 451.672
445, 451.672
445, 451.672
445, 451.672
445, 463.488
454, 463.488
454, 463.488
454, 463.488
464, 463.488
464, 463.488
464, 463.488
464, 463.488
464, 463.488
473, 487.5520000000001
473, 487.5520000000001
473, 487.5520000000001
473, 487.5520000000001
481, 487.5520000000001
